endpoint,method
https://ctp.hingehealth.io/2.744ca66cc9fd9ed28167.bundle.js,GET
https://ctp.hingehealth.io/mass-message.749c05100f412332eb25.bundle.js,GET
https://configurator.hingehealth.io/,GET
https://configurator.hingehealth.io/static/js/main.18374028.chunk.js,GET
https://configurator.hingehealth.io/static/js/2.6b297bcc.chunk.js,GET
https://configurator-bff.hingehealth.io/graphql,OPTIONS
https://configurator-bff.hingehealth.io/graphql,POST
https://ctp.hingehealth.io/login,GET
https://ctp.hingehealth.io/login.9fcbdb3e0c1373591058.bundle.js,GET
https://care-team-tools-bff.hingehealth.io/socket.io/,GET
https://contile.services.mozilla.com/v1/tiles,GET
https://www.google.com/complete/search,GET
https://ctt-shell.hingehealth.io/,GET
http://ctt-shell.hingehealth.io/,GET
https://coach.hingehealth.io/,GET
https://coach.hingehealth.io/static/js/699.91c84e34.js,GET
https://coach.hingehealth.io/static/js/main.7af77a96.js,GET
https://ctt-shell.hingehealth.io/main.bundle.js,GET
https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/e6b66e2e-c8d8-470c-9cf2-f6aa0c8678c2,POST
https://apis.google.com/js/api.js,GET
https://fonts.googleapis.com/css,GET
https://sdk.split.io/api/mySegments/random%20key,OPTIONS
https://sdk.split.io/api/splitChanges,OPTIONS
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/.well-known/openid-configuration,OPTIONS
https://api.mixpanel.com/decide/,GET
https://api.mixpanel.com/track/,GET
https://sdk.split.io/api/splitChanges,GET
https://sdk.split.io/api/mySegments/random%20key,GET
https://o364130.ingest.sentry.io/api/5872904/envelope/,POST
https://sentry.io/api/5173897/envelope/,POST
https://auth.split.io/api/v2/auth,OPTIONS
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/.well-known/openid-configuration,GET
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/authorize,GET
https://hingehealth-wf.oktapreview.com/idp/idx/introspect,POST
https://browser-intake-datadoghq.com/api/v2/rum,POST
https://rum-http-intake.logs.datadoghq.com/v1/input/pubf971fee370efba1c4781a32fea081d34,POST
https://coach-tools-bff.hingehealth.io/auth/password-login,OPTIONS
https://coach-tools-bff.hingehealth.io/auth/password-login,POST
https://hingehealth-wf.oktapreview.com/api/internal/brand/theme/style-sheet,GET
https://hingehealth-wf.oktapreview.com/auth/services/devicefingerprint,GET
https://hingehealth-wf.oktapreview.com/api/v1/internal/device/nonce,POST
https://hingehealth-wf.oktapreview.com/idp/idx/identify,POST
https://hingehealth-wf.oktapreview.com/idp/idx/challenge/answer,POST
https://hingehealth-wf.oktapreview.com/login/token/redirect,GET
https://coach.hingehealth.io/okta/callback,GET
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/token,OPTIONS
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/token,POST
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/keys,OPTIONS
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/keys,GET
https://coach-tools-bff.hingehealth.io/graphql,OPTIONS
https://coach-tools-bff.hingehealth.io/graphql,POST
https://sdk.split.io/api/mySegments/auto-pt-ghkorgbv%40hingehealth.com,OPTIONS
https://sdk.split.io/api/mySegments/auto-pt-ghkorgbv%40hingehealth.com,GET
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,OPTIONS
https://auth.split.io/api/v2/auth,GET
https://coach-tools-bff.hingehealth.io/api/graphql/coach_tools,POST
https://app.hingehealth.io/api/v3/tasks/counts,OPTIONS
https://app.hingehealth.io/api/v3/tasks/counts,GET
https://events.split.io/api/testImpressions/beacon,POST
https://streaming.split.io/sse,GET
https://aus5.mozilla.org/update/6/Firefox/130.0.1/20240913135723/Darwin_aarch64-gcc3/en-US/release/Darwin%252023.5.0/ISET%3ANEON%2CMEM%3A32768/default/default/update.xml,GET
https://incoming.telemetry.mozilla.org/submit/telemetry/8f63fccf-3008-4b6f-8bba-9143865f4951/main/Firefox/130.0.1/release/20240913135723,POST
https://location.services.mozilla.com/v1/country,GET
https://incoming.telemetry.mozilla.org/submit/telemetry/68f774c5-edc9-4d34-8eef-42db1e30c647/modules/Firefox/130.0/release/20240829075237,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/84d1a222-12ee-432b-9a7e-6b127b2a3b76/event/Firefox/130.0.1/release/20240913135723,POST
https://ctt-shell.hingehealth.io/okta/callback,GET
https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US,GET
https://aus5.mozilla.org/update/6/Firefox/130.0/20240829075237/Darwin_aarch64-gcc3/en-US/release/Darwin%252023.5.0/ISET%3ANEON%2CMEM%3A8192/default/default/update.xml,GET
https://classify-client.services.mozilla.com/api/v1/classify_client/,GET
https://content-signature-2.cdn.mozilla.net/chains/202402/normandy.content-signature.mozilla.org-2024-11-02-12-44-22.chain,GET
https://incoming.telemetry.mozilla.org/submit/telemetry/3af49321-3c99-474a-97f9-8ffd25c80306/main/Firefox/130.0/release/20240829075237,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/5137cb52-70d4-4ea3-9423-e2919e85e453/event/Firefox/130.0/release/20240829075237,POST
http://detectportal.firefox.com/canonical.html,GET
https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/6ed381ee-3afd-44aa-822b-5ed91429870c,POST
https://staging.recapped.io/socket/websocket,GET
https://secure.helpscout.net/,GET
https://coach.hingehealth.io/messaging,GET
https://events.split.io/api/testImpressions/bulk,OPTIONS
https://events.split.io/api/testImpressions/bulk,POST
https://coach.hingehealth.io/mass-messaging,GET
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/revoke,OPTIONS
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/revoke,POST
https://hingehealth-wf.oktapreview.com/oauth2/ausdj8vvlpgpg6zxP1d7/v1/logout,GET
https://incoming.telemetry.mozilla.org/submit/firefox-desktop/pageload/1/6ca83d78-e45a-469b-8ac9-bf10da033bca,POST
https://app.hingehealth.io/admin/login,GET
https://app.hingehealth.io/assets/active_admin-899d78870812479ae84fdfb6f8dc2836a3baf21093c5d8c54a8808b7133092fd.js,GET
https://app.hingehealth.io/assets/lock_inputs-68ca0d8d69b152276c221fb59724db01ef4313a4ff96c4c62d1f8e805d42287f.js,GET
https://app.hingehealth.io/admin/login,POST
https://app.hingehealth.io/omniauth/oktaoauth,GET
https://hingehealth-wf.okta.com/oauth2/ausasifhozooDZnPY697/v1/authorize,GET
https://hingehealth-wf.okta.com/api/internal/brand/theme/style-sheet,GET
https://ok14static.oktacdn.com/assets/js/sdk/okta-signin-widget/7.23.0/js/okta-sign-in.min.js,GET
https://ok14static.oktacdn.com/fs/bco/1/fs02x58rfxzlQ9WJY4h7,GET
https://ok14static.oktacdn.com/assets/js/mvc/loginpage/initLoginPage.pack.58de3be0c9b511a0fdfd7ea4f69b56fc.js,GET
https://ok14static.oktacdn.com/bc/image/fileStoreRecord,GET
https://hingehealth-wf.okta.com/idp/idx/introspect,POST
https://login.okta.com/discovery/iframe.html,GET
https://login.okta.com/lib/discoveryIframe-17abdf702560067430e5.min.js,GET
https://hingehealth-wf.okta.com/auth/services/devicefingerprint,GET
https://ok14static.oktacdn.com/assets/js/vendor/lib/fingerprint2.min.68ab45bd98459cb766f3ab26d086e5f5.js,GET
https://ok14static.oktacdn.com/assets/js/vendor/lib/crypto-js.eac8c800a39bc533f58390e6c0eef9bf.js,GET
https://ok14static.oktacdn.com/assets/js/jquery-1.12.4.2ef93d9aedc4198ec425a799a371292d.js,GET
https://hingehealth-wf.okta.com/api/v1/internal/device/nonce,POST
https://hingehealth-wf.okta.com/idp/idx/identify,POST
https://hingehealth-wf.okta.com/idp/idx/challenge/answer,POST
https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/cd37db19-ac53-45d9-868f-5e1a31102558,POST
https://safebrowsing.googleapis.com/v4/fullHashes:find,GET
https://safebrowsing.googleapis.com/v4/threatListUpdates:fetch,GET
https://incoming.telemetry.mozilla.org/submit/telemetry/6abec848-a6f2-4d8e-a22c-a327bea00b30/event/Firefox/130.0.1/release/20240913135723,POST
https://normandy.cdn.mozilla.net/api/v1/,GET
https://incoming.telemetry.mozilla.org/submit/telemetry/80da9f65-0ae7-40d0-9421-0d10a4c19ca1/event/Firefox/130.0.1/release/20240913135723,POST
https://services.addons.mozilla.org/api/v4/addons/search/,GET
https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset,GET
https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/nimbus-desktop-experiments/changeset,GET
https://content-signature-2.cdn.mozilla.net/chains/remote-settings.content-signature.mozilla.org-2024-10-28-16-16-00.chain,GET
https://aus5.mozilla.org/update/3/SystemAddons/130.0.1/20240913135723/Darwin_aarch64-gcc3/en-US/release/Darwin%252023.5.0/default/default/update.xml,GET
https://aus5.mozilla.org/update/3/GMP/130.0.1/20240913135723/Darwin_aarch64-gcc3/en-US/release/Darwin%252023.5.0/default/default/update.xml,GET
https://firefox.settings.services.mozilla.com/v1/buckets/security-state/collections/cert-revocations/changeset,GET
https://content-signature-2.cdn.mozilla.net/chains/onecrl.content-signature.mozilla.org-2024-10-28-16-15-58.chain,GET
https://firefox.settings.services.mozilla.com/v1/buckets/security-state/collections/intermediates/changeset,GET
https://content-signature-2.cdn.mozilla.net/chains/202402/aus.content-signature.mozilla.org-2024-11-02-12-44-24.chain,GET
https://firefox-settings-attachments.cdn.mozilla.net/security-state-staging/intermediates/8b46f585-0570-4c6a-bbcd-7f542068dbca.pem,GET
https://firefox-settings-attachments.cdn.mozilla.net/security-state-staging/intermediates/13a4e7c2-189d-4812-861b-0184361f54e1.pem,GET
https://shavar.services.mozilla.com/downloads,POST
https://tracking-protection.cdn.mozilla.net/google-trackwhite-digest256/130.0/1724187215,GET
https://incoming.telemetry.mozilla.org/submit/telemetry/2b99f520-1020-462d-8eb7-7a5c68f233e0/main/Firefox/130.0/release/20240829075237,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/7c2bfcad-9a67-4c1d-af3e-cdcc43553838/main/Firefox/130.0.1/release/20240913135723,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/de8bc7c5-48fe-4d09-b602-4099d87f1605/event/Firefox/130.0/release/20240829075237,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/decd1db7-5208-47cc-aed4-b9d8014585f6/event/Firefox/130.0.1/release/20240913135723,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/71fa5f13-dbcb-4c43-b2d4-af6fe93faf20/event/Firefox/130.0/release/20240829075237,POST
https://incoming.telemetry.mozilla.org/submit/telemetry/44a44ebd-297b-4f98-9cac-3e5b79dca2da/event/Firefox/130.0.1/release/20240913135723,POST
https://gsp64-ssl.ls.apple.com/hvr/v3/use,POST
https://login.structuredweb.com/sw/swchannel/Calendar/intranet/CalendarPopUpReminder.cfm,GET
https://init-p01md.apple.com/bag,GET
https://gateway-asset.icloud-content.com/WRdi8KIBkiTTaawB8XAl,PUT
https://ec.walkme.com/event/backEvent,POST
https://ec.walkme.com/event/log,GET
https://tsssaver.1conan.com/v2/api/save.php,POST
https://api.smoot.apple.com/bag,GET
https://pds-init.ess.apple.com/WebObjects/PdsInit.woa/wa/getBag,GET
https://init.ess.apple.com/WebObjects/VCInit.woa/wa/getBag,GET
http://captive.apple.com/hotspot-detect.html,GET
https://gspe35-ssl.ls.apple.com/geo_manifest/dynamic/config,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_GeoPolygonDataAssets/com_apple_MobileAsset_GeoPolygonDataAssets.xml,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_SpeechEndpointAssets/com_apple_MobileAsset_SpeechEndpointAssets.xml,GET
https://gsp85-ssl.ls.apple.com/wifi_request,POST
https://gspe19-ssl.ls.apple.com/tile.vf,GET
https://ocsp2.apple.com/ocsp03-appleserverauth22/ME8wTTBLMEkwRzAHBgUrDgMCGgQUvcCNBTygj2GUsMjGCEkEkXjUnScEFCzFbVLdMe%2BM7AiB7d%2FcykMARQHQAhA5J%2B6hm8hu1rwomedSUQV4,GET
https://p69-fmfmobile.icloud.com/fmipservice/friends/fmfd/8354653129/7e3c156f9c2dc6ebe40283475ff7e9f5341c48f8/initClient,POST
https://gspe1-ssl.ls.apple.com/pep/gcc,GET
https://weather-edge.apple.com/v1/configs,PUT
https://gsp-ssl.ls.apple.com/dispatcher.arpc,POST
https://c.apple.news/AgEZY29uZmlndXJhdGlvbi1qc29uLTE0MzQ0NAAxNw,GET
https://init.itunes.apple.com/bag.xml,GET
https://testflight.apple.com/v1/properties/testflight,GET
https://testflight.apple.com/v1/session/authenticate,POST
https://mesu.apple.com/assets/com_apple_MobileAsset_HomeKit/com_apple_MobileAsset_HomeKit.xml,GET
https://musicstatus.itunes.apple.com/v1/status,GET
https://ocsp2.apple.com/ocsp03-aaicag307/MEcwRTBDMEEwPzAHBgUrDgMCGgQUucybzrrk3e2QOBhceSSzJZIHDdsEFCPyScRPk%2BTvJ%2BbE9ihsP6K7%2FS5LAggPCOFr7f5ioA%3D%3D,GET
https://ocsp2.apple.com/ocsp04-applerootcag3/MEcwRTBDMEEwPzAHBgUrDgMCGgQUND35a6IGH844FezAAxfkVFBHMJsEFLuw3qFYM4iapIqZ3r6966%2FayySrAghJbS%2B%2FOpjalw%3D%3D,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_SecExperimentAssets/com_apple_MobileAsset_SecExperimentAssets.xml,GET
https://p69-fmf.icloud.com/fmipservice/fmf/8354653129/7e3c156f9c2dc6ebe40283475ff7e9f5341c48f8/register,POST
https://carrierbundle.itunes.apple.com/WebObjects/MZCarrierBundle.woa/wa/fuseHeaderEnrichment,POST
https://iadsdk.apple.com/adserver/2/policy/display,GET
https://device-config.pcms.apple.com/transform-service/1/config,GET
https://sas.pcms.apple.com/sas/v1/auth/init,GET
https://sas.pcms.apple.com/sas/v1/auth/setup,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_VoiceServices_CustomVoice/com_apple_MobileAsset_VoiceServices_CustomVoice.xml,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_MagnifierAsset/com_apple_MobileAsset_MagnifierAsset.xml,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_DictionaryServices_dictionary2/com_apple_MobileAsset_DictionaryServices_dictionary2.xml,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_Font7/com_apple_MobileAsset_Font7.xml,GET
https://gsp-ssl.ls.apple.com/ab.arpc,POST
https://pancake.apple.com/bags/maple/355f5e74848522db142812706d3559c35daf9f66536507b4f5bf7ad3e1f68575/ca,GET
https://gspe35-ssl.ls.apple.com/config/announcements,GET
https://configuration.ls.apple.com/config/defaults,GET
https://gsp57-ssl-background.ls.apple.com/dispatcher.arpc,POST
https://valid.apple.com/g4/v63,GET
https://ocsp2.apple.com/ocsp03-asi2ca02/MEcwRTBDMEEwPzAHBgUrDgMCGgQUOmM1gL3WAP7Ow18nTA%2F3Cs9KLyUEFBJ1fEeS%2FYPjvi78WX9nQ4E1EEXsAghHm5NH6iASxQ%3D%3D,GET
https://cdn.smoot.apple.com/static/dictionary_resources_url,GET
https://cdn.smoot.apple.com/static/spotlight_suggestions_stopwords/4/stopwords-en.map,GET
https://cdn.smoot.apple.com/static/crowdsourcing_whitelist_url,GET
https://cdn.smoot.apple.com/static/silhouette_topic_mapping/5/silhouette_topic_mapping,GET
https://cdn.smoot.apple.com/static/crowdsourcing_blacklist_url,GET
https://cdn.smoot.apple.com/static/spotlight_model_resources/2/spotlight_ml.mpak,GET
https://cdn.smoot.apple.com/static/autofill_tld_whitelist_url,GET
https://cdn.smoot.apple.com/static/installed_app_whitelist_url,GET
https://cdn.smoot.apple.com/static/static_corrections_dict/20200930/static_corrections_dict.json,GET
https://cdn.smoot.apple.com/static/spotlight_suggestions_phrase_dictionary/4/phrase-dictionary-en-US.map,GET
https://cdn.smoot.apple.com/static/silhouette_whitelisted_topics/5/silhouette_whitelisted_topics,GET
https://cdn.smoot.apple.com/static/silhouette_config/5/silhouette_config,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_LinguisticData/com_apple_MobileAsset_LinguisticData.xml,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_DeviceCheck/com_apple_MobileAsset_DeviceCheck.xml,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_ContextKit/com_apple_MobileAsset_ContextKit.xml,GET
https://pancake.apple.com/bags/maple/355f5e74848522db142812706d3559c35daf9f66536507b4f5bf7ad3e1f68575/homerel,GET
https://pancake.apple.com/bags/maple/355f5e74848522db142812706d3559c35daf9f66536507b4f5bf7ad3e1f68575/storage,GET
https://mesu.apple.com/assets/com_apple_MobileAsset_CoreAS/com_apple_MobileAsset_CoreAS.xml,GET
https://cf.iadsdk.apple.com/adserver/2.6/config,POST
https://testflight.apple.com/v3/accounts/fefc0cf5-0313-4831-b55f-f4b9cbbf255f/apps,GET
https://fbs.smoot.apple.com/fb,POST
https://eisffp.qatarairways.com.qa/ffp-services/profileService/v1/devices/4da3a61e34d5cbd897d7776b5c605fe1/registrations/pass.com.qatarairways.qrmobile/daa52d6859fd706e99dfc97d4d60578c,POST
https://eisffp.qatarairways.com.qa/ffp-services/profileService/v1/devices/4da3a61e34d5cbd897d7776b5c605fe1/registrations/pass.com.qatarairways.qrmobile,GET
https://eisffp.qatarairways.com.qa/ffp-services/profileService/v1/log,POST
